Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
217,Anthony Mason\masonan01,PF,24,DEN,3,0,21,3.4,6.9,.500,0.0,0.0,,3.4,6.9,.500,10.3,13.7,.750,5.1,3.4,8.6,0.0,1.7,0.0,0.0,10.3,17.1
218,Tony Massenburg\masseto01,PF,23,SAS,35,0,161,6.0,13.4,.450,0.0,0.0,,6.0,13.4,.450,6.3,10.1,.622,5.1,7.8,13.0,0.9,0.9,2.0,2.9,5.8,18.3
219,Vernon Maxwell\maxweve01,SG,25,HOU,82,79,2870,6.3,15.6,.404,2.2,6.4,.337,4.2,9.2,.450,2.7,3.7,.733,0.5,2.5,3.0,3.8,1.6,0.2,2.1,2.2,17.5
220,Travis Mays\maystr01,PG,22,SAC,64,55,2145,4.9,12.2,.406,1.2,3.3,.365,3.7,8.8,.421,4.3,5.6,.770,0.9,2.1,3.0,4.2,1.4,0.2,2.7,2.8,15.4
221,George McCloud\mccloge01,SF,23,IND,74,0,1070,4.4,11.8,.373,1.4,4.2,.347,3.0,7.6,.388,1.3,1.6,.776,1.2,2.8,4.0,5.0,1.3,0.4,3.1,4.7,11.5
222,Tim McCormick\mccorti01,C,28,ATL,56,7,689,4.9,9.8,.497,0.0,0.2,.000,4.9,9.6,.505,3.4,4.7,.733,2.9,5.7,8.6,1.7,0.6,0.7,2.4,4.8,13.2
223,Rodney McCray\mccraro01,PF,29,DAL,74,68,2561,4.7,9.5,.495,0.2,0.5,.333,4.5,9.0,.505,2.2,2.8,.803,2.2,5.7,7.9,3.6,1.0,0.7,1.8,2.9,11.9
224,Xavier McDaniel\mcdanxa01,SF,27,TOT,81,79,2634,8.1,16.2,.497,0.0,0.1,.000,8.1,16.1,.501,2.6,3.6,.723,2.4,5.2,7.6,2.6,1.0,0.6,2.5,3.6,18.8
224,Xavier McDaniel\mcdanxa01,SF,27,SEA,15,15,529,9.5,19.7,.479,0.0,0.2,.000,9.5,19.5,.484,3.3,4.7,.710,2.4,3.1,5.5,2.6,1.8,0.3,2.7,3.4,22.3
224,Xavier McDaniel\mcdanxa01,SF,27,PHO,66,64,2105,7.7,15.3,.503,0.0,0.1,.000,7.7,15.2,.506,2.5,3.4,.727,2.3,5.8,8.1,2.5,0.9,0.7,2.5,3.7,17.9
225,Kevin McHale*\mchalke01,PF,33,BOS,68,10,2067,8.8,15.9,.553,0.3,0.6,.405,8.5,15.2,.559,4.0,4.8,.829,2.5,5.8,8.4,2.2,0.4,2.5,2.4,3.4,21.8
226,Derrick McKey\mckeyde01,SF,24,SEA,73,55,2503,6.3,12.2,.517,0.1,0.3,.211,6.2,11.9,.524,3.4,4.0,.845,2.5,3.6,6.1,2.4,1.3,0.8,2.3,3.2,16.0
227,Nate McMillan\mcmilna01,SG,26,SEA,78,0,1434,3.3,7.7,.433,0.4,1.2,.354,2.9,6.5,.447,1.4,2.3,.613,1.8,4.5,6.3,9.3,2.6,0.5,3.1,5.3,8.5
228,Mark McNamara\mcnamma01,C,31,ORL,2,0,13,0.0,2.8,.000,0.0,0.0,,0.0,2.8,.000,0.0,0.0,,0.0,11.1,11.1,0.0,0.0,0.0,0.0,2.8,0.0
229,Scott Meents\meentsc01,PF,27,SEA,13,0,53,4.8,19.0,.250,0.7,0.7,1.000,4.1,18.3,.222,1.4,2.7,.500,2.0,4.8,6.8,5.4,4.8,2.7,4.1,3.4,11.5
230,Reggie Miller*\millere01,SG,25,IND,82,82,2972,7.2,14.1,.512,1.4,3.9,.348,5.9,10.2,.575,6.7,7.3,.918,1.0,2.4,3.4,4.0,1.3,0.2,2.0,2.0,22.5
231,Terry Mills\millste01,PF,23,TOT,55,2,819,5.9,12.7,.465,0.0,0.2,.000,5.9,12.5,.472,2.1,2.9,.712,3.6,6.5,10.1,1.5,1.5,1.3,1.9,4.4,13.8
231,Terry Mills\millste01,PF,23,DEN,17,0,279,7.2,15.5,.467,0.0,0.3,.000,7.2,15.2,.475,2.1,2.8,.727,4.0,7.4,11.4,2.1,2.1,1.2,2.3,5.7,16.5
231,Terry Mills\millste01,PF,23,NJN,38,2,540,5.2,11.2,.464,0.0,0.1,.000,5.2,11.1,.470,2.1,2.9,.705,3.4,6.0,9.4,1.1,1.3,1.3,1.7,3.7,12.5
232,Sam Mitchell\mitchsa01,PF,27,MIN,82,60,3121,5.1,11.7,.441,0.0,0.1,.000,5.1,11.5,.445,3.5,4.6,.775,2.2,3.8,6.0,1.5,0.8,0.7,1.2,3.9,13.8
233,Paul Mokeski\mokespa01,C,34,GSW,36,1,257,2.9,8.3,.356,0.4,1.3,.333,2.5,7.0,.360,1.7,2.1,.800,2.8,6.6,9.4,1.3,1.1,0.4,1.0,8.1,8.0
234,Sidney Moncrief*\moncrsi01,SG,33,ATL,72,3,1096,3.8,7.9,.488,0.7,2.1,.328,3.2,5.8,.545,2.7,3.4,.781,1.0,3.2,4.2,3.4,1.6,0.3,2.2,3.7,11.1
235,Chris Morris\morrich01,SF,25,NJN,79,68,2553,5.8,13.6,.425,0.6,2.5,.251,5.1,11.0,.465,2.5,3.4,.734,3.0,4.4,7.3,3.1,1.9,1.4,2.4,3.5,14.7
236,John Morton\mortojo01,SF,23,CLE,66,2,1207,3.6,8.2,.438,0.1,0.4,.333,3.5,7.8,.443,3.4,4.1,.813,1.2,1.8,3.1,7.2,1.8,0.5,3.2,3.3,10.6
237,Chris Mullin*\mullich01,SF,27,GSW,82,82,3315,8.4,15.7,.536,0.4,1.4,.301,8.0,14.3,.560,5.6,6.3,.884,1.5,3.3,4.8,3.6,1.9,0.7,2.7,1.9,22.9
238,Chris Munk\munkch01,PF,23,UTA,11,0,29,3.7,8.7,.429,0.0,0.0,,3.7,8.7,.429,8.7,14.9,.583,6.2,11.2,17.4,1.2,1.2,2.5,6.2,6.2,16.1
239,Tod Murphy\murphto01,PF,27,MIN,52,19,1063,3.0,7.7,.396,0.0,0.6,.059,3.0,7.1,.424,2.4,3.6,.667,3.1,5.5,8.6,2.0,0.8,0.7,1.1,3.4,8.5
240,Jerrod Mustaf\mustaje01,PF,21,NYK,62,5,825,4.6,9.9,.465,0.0,0.0,.000,4.6,9.9,.467,2.4,3.8,.644,2.2,5.1,7.4,1.6,0.7,0.6,2.7,4.8,11.7
241,Pete Myers\myerspe01,SG,27,SAS,8,1,103,3.5,8.0,.435,0.0,0.3,.000,3.5,7.7,.455,3.1,3.8,.818,0.7,5.6,6.3,4.9,1.0,1.0,4.9,4.9,10.1
242,Larry Nance\nancela01,PF,31,CLE,80,78,2927,7.8,14.9,.524,0.0,0.1,.250,7.8,14.8,.526,3.3,4.1,.803,2.5,6.0,8.4,2.9,0.8,2.5,1.6,2.7,18.9
243,Craig Neal\nealcr01,PG,26,DEN,10,0,125,4.0,10.1,.400,0.9,2.6,.333,3.2,7.5,.423,3.7,6.3,.591,0.6,4.0,4.6,10.7,1.2,0.0,5.5,7.5,12.7
244,Ed Nealy\nealyed01,PF,30,PHO,55,0,573,2.8,6.1,.464,0.3,1.0,.313,2.5,5.1,.494,1.8,2.4,.737,2.8,6.7,9.5,2.3,1.5,0.3,1.2,2.9,7.7
245,Johnny Newman\newmajo01,SF,27,CHH,81,81,2477,6.9,14.8,.470,0.4,1.2,.357,6.5,13.6,.480,5.6,6.9,.809,1.4,2.3,3.7,2.7,1.5,0.2,2.7,4.0,19.9
246,Ken Norman\normake01,SF,26,LAC,70,45,2309,8.1,16.2,.501,0.1,0.5,.188,8.0,15.7,.511,2.7,4.3,.629,2.8,5.0,7.7,2.5,1.0,1.0,2.2,3.0,19.0
247,Dan O'Sullivan\osullda01,C,22,UTA,21,0,85,3.0,6.8,.438,0.0,0.0,,3.0,6.8,.438,3.0,4.7,.636,2.1,5.1,7.2,1.7,0.4,0.4,1.7,7.6,8.9
248,Charles Oakley\oaklech01,PF,27,NYK,76,74,2739,4.0,7.8,.516,0.0,0.0,.000,4.0,7.8,.518,3.1,4.0,.784,4.0,8.1,12.1,2.7,0.8,0.2,2.8,3.8,11.2
249,Alan Ogg\oggal01,C,23,MIA,31,1,261,3.3,7.6,.436,0.0,0.3,.000,3.3,7.3,.453,0.8,1.4,.600,2.1,4.7,6.8,0.3,0.8,3.7,1.1,7.3,7.4
250,Hakeem Olajuwon*\olajuha01,C,28,HOU,56,50,2062,8.5,16.7,.508,0.0,0.1,.000,8.5,16.7,.510,3.7,4.8,.769,3.8,9.6,13.4,2.3,2.1,3.9,3.0,3.9,20.7
251,Jawann Oldham\oldhaja01,C,33,IND,4,0,19,5.7,11.4,.500,0.0,0.0,,5.7,11.4,.500,0.0,0.0,,0.0,5.7,5.7,0.0,0.0,0.0,0.0,1.9,11.4
252,Brian Oliver\olivebr01,SG,22,PHI,73,4,800,5.0,12.2,.408,0.2,0.8,.278,4.8,11.4,.417,2.3,3.2,.732,0.8,2.8,3.6,4.0,1.5,0.2,2.3,3.4,12.6
253,Gerald Paddio\paddige01,SF,25,CLE,70,22,1181,6.5,15.4,.419,0.2,0.7,.250,6.3,14.7,.427,2.3,2.8,.796,1.2,2.4,3.6,2.7,0.6,0.2,2.2,2.2,15.4
254,Walter Palmer\palmewa01,C,22,UTA,28,0,85,6.4,19.1,.333,0.0,0.4,.000,6.4,18.6,.341,4.2,6.4,.667,2.5,6.4,8.9,2.5,1.3,1.7,2.5,8.5,16.9
255,Robert Parish*\parisro01,C,37,BOS,81,81,2441,7.2,12.0,.598,0.0,0.0,.000,7.2,11.9,.599,3.5,4.6,.767,4.0,8.6,12.6,1.0,1.0,1.5,2.3,2.9,17.8
256,John Paxson\paxsojo01,PG,30,CHI,82,82,1971,5.8,10.6,.548,0.8,1.8,.438,5.0,8.8,.571,0.6,0.7,.829,0.3,1.4,1.7,5.4,1.1,0.1,1.3,2.5,13.0
257,Kenny Payne\payneke01,SF,24,PHI,47,6,444,5.5,15.3,.360,0.3,1.5,.222,5.2,13.9,.374,2.1,2.4,.897,1.4,4.0,5.4,1.3,0.8,0.5,1.7,3.5,13.5
258,Gary Payton*\paytoga01,PG,22,SEA,82,82,2244,4.2,9.2,.450,0.0,0.2,.077,4.1,9.0,.459,1.1,1.6,.711,1.7,2.2,3.9,8.5,2.6,0.2,2.9,4.0,9.4
259,Will Perdue\perduwi01,C,25,CHI,74,3,972,4.3,8.7,.494,0.0,0.1,.000,4.3,8.6,.500,2.8,4.1,.670,4.5,7.9,12.4,1.7,0.9,2.1,2.8,5.4,11.4
260,Sam Perkins\perkisa01,PF,29,LAL,73,66,2504,5.3,10.7,.495,0.3,0.9,.281,5.0,9.8,.515,3.3,4.0,.821,2.4,5.3,7.7,1.6,0.9,1.1,1.5,3.6,14.1
261,Tim Perry\perryti01,C,25,PHO,46,2,587,4.6,8.8,.521,0.0,0.3,.000,4.6,8.5,.540,2.6,4.3,.614,3.3,4.5,7.7,1.7,1.4,2.6,2.0,3.7,11.8
262,Chuck Person\persoch01,SF,26,IND,80,79,2566,8.7,17.3,.504,1.0,2.8,.340,7.7,14.4,.536,2.3,3.2,.721,1.7,4.2,5.9,3.3,0.8,0.2,2.6,3.1,20.7
263,Jim Petersen\peterji01,C,28,GSW,62,21,834,4.9,10.2,.483,0.0,0.2,.250,4.9,10.0,.487,2.2,3.3,.658,3.0,5.7,8.6,1.2,0.6,1.8,2.1,6.6,12.0
264,Dražen Petrović*\petrodr01,SG,26,TOT,61,0,1015,8.6,17.5,.493,0.8,2.3,.354,7.8,15.2,.514,4.0,4.9,.832,1.8,2.1,3.9,3.1,1.5,0.0,2.9,4.7,22.1
264,Dražen Petrović*\petrodr01,SG,26,POR,18,0,133,8.7,19.2,.451,0.3,1.6,.167,8.4,17.6,.477,4.1,6.0,.682,2.7,2.2,4.9,5.4,1.6,0.0,3.2,5.7,21.7
264,Dražen Petrović*\petrodr01,SG,26,NJN,43,0,882,8.6,17.2,.500,0.9,2.4,.373,7.7,14.8,.521,4.0,4.7,.861,1.7,2.1,3.8,2.7,1.5,0.0,2.8,4.5,22.2
265,Ricky Pierce\piercri01,SG,31,TOT,78,2,2167,9.3,19.2,.485,0.8,1.9,.397,8.6,17.3,.495,7.1,7.8,.913,1.1,2.1,3.2,2.8,1.0,0.2,2.4,2.8,26.5
265,Ricky Pierce\piercri01,SG,31,MIL,46,0,1327,9.7,19.5,.499,1.0,2.5,.398,8.7,17.0,.514,7.7,8.4,.907,1.0,2.2,3.2,2.6,1.0,0.3,2.5,2.4,28.1
265,Ricky Pierce\piercri01,SG,31,SEA,32,2,840,8.7,18.7,.463,0.4,1.0,.391,8.3,17.7,.467,6.3,6.9,.925,1.3,1.9,3.2,3.1,0.9,0.1,2.3,3.4,24.0
266,Ed Pinckney\pincked01,PF,27,BOS,70,16,1165,4.0,7.5,.539,0.0,0.0,.000,4.0,7.5,.541,3.2,3.6,.897,4.8,5.7,10.5,1.4,1.9,1.3,1.4,4.5,11.3
267,Scottie Pippen*\pippesc01,SF,25,CHI,82,82,3014,7.2,13.8,.520,0.3,0.8,.309,6.9,13.0,.534,2.9,4.1,.706,1.9,5.2,7.1,6.1,2.3,1.1,2.8,3.2,17.5
268,Olden Polynice\polynol01,C,26,TOT,79,30,2092,5.4,9.7,.560,0.0,0.0,.000,5.4,9.7,.561,2.5,4.3,.579,3.8,5.7,9.5,0.7,0.7,0.6,1.5,3.3,13.4
268,Olden Polynice\polynol01,C,26,SEA,48,0,960,6.2,11.4,.545,0.0,0.0,,6.2,11.4,.545,2.5,4.3,.588,4.3,5.9,10.1,0.6,1.0,0.7,2.0,3.5,14.9
268,Olden Polynice\polynol01,C,26,LAC,31,30,1132,4.8,8.3,.579,0.0,0.0,.000,4.8,8.3,.581,2.5,4.4,.572,3.4,5.6,9.0,0.8,0.5,0.4,1.1,3.1,12.1
269,Dave Popson\popsoda01,PF,26,BOS,19,0,64,7.3,18.0,.406,0.0,0.0,,7.3,18.0,.406,5.1,5.6,.900,3.9,3.9,7.9,1.1,0.6,1.1,3.4,6.8,19.7
270,Terry Porter\portete01,PG,27,POR,81,81,2665,6.6,12.8,.515,1.8,4.2,.415,4.8,8.5,.564,3.8,4.6,.823,0.7,3.1,3.8,8.8,2.1,0.2,2.6,2.0,18.7
271,Paul Pressey\presspa01,SG,32,SAS,70,18,1683,4.3,9.1,.472,0.3,1.2,.281,4.0,7.9,.501,2.4,2.8,.827,1.1,2.7,3.8,5.8,1.3,0.7,2.8,3.7,11.3
272,Mark Price\pricema01,PG,26,CLE,16,16,571,6.1,12.3,.497,1.1,3.3,.340,5.0,9.0,.556,3.7,3.9,.952,0.5,2.3,2.8,10.5,2.6,0.1,3.5,1.5,17.1
273,Kevin Pritchard\pritcke01,PG,23,GSW,62,1,773,4.1,10.7,.384,0.2,1.4,.161,3.9,9.2,.419,2.9,3.6,.805,0.7,2.3,3.0,3.8,1.4,0.4,2.7,4.8,11.3
274,Brian Quinnett\quinnbr01,SG,24,NYK,68,5,1011,4.9,10.8,.459,0.5,1.5,.349,4.4,9.3,.477,0.9,1.3,.722,2.3,2.8,5.2,1.9,0.8,0.5,1.9,3.6,11.4
275,Kurt Rambis\rambiku01,PF,32,PHO,62,17,900,3.3,6.7,.497,0.0,0.1,.000,3.3,6.6,.503,2.4,3.4,.706,3.1,7.6,10.6,2.6,1.0,0.4,1.8,4.3,9.0
276,Blair Rasmussen\rasmubl01,C,28,DEN,70,69,2325,6.3,13.7,.458,0.0,0.1,.400,6.2,13.6,.458,1.0,1.4,.677,2.6,7.9,10.5,1.1,0.8,2.0,1.3,4.8,13.5
277,J.R. Reid\reidjr01,C,22,CHH,80,80,2467,5.3,11.3,.466,0.0,0.0,.000,5.3,11.3,.467,2.7,3.8,.703,2.2,5.1,7.3,1.3,1.3,0.7,2.2,4.2,13.2
278,Robert Reid\reidro01,SF,35,PHI,3,0,37,1.9,13.6,.143,0.0,0.0,,1.9,13.6,.143,0.0,0.0,,1.9,6.8,8.8,3.9,1.0,2.9,2.9,2.9,3.9
279,Jerry Reynolds\reynoje01,SG,28,ORL,80,9,1843,6.7,15.5,.434,0.2,0.7,.294,6.5,14.8,.440,6.6,8.2,.802,1.7,4.1,5.8,4.0,1.9,1.1,3.4,2.4,20.2
280,Glen Rice\ricegl01,SF,23,MIA,77,77,2646,7.5,16.2,.461,1.0,2.5,.386,6.5,13.7,.475,2.3,2.8,.818,1.2,4.0,5.2,2.6,1.4,0.4,2.3,2.9,18.3
281,Pooh Richardson\richapo01,PG,24,MIN,82,82,3154,7.2,15.4,.470,0.5,1.5,.328,6.8,13.9,.485,1.0,1.9,.539,0.9,2.3,3.3,8.4,1.5,0.1,2.0,1.3,16.0
282,Mitch Richmond*\richmmi01,SG,25,GSW,77,77,3027,8.4,16.9,.494,0.5,1.4,.348,7.9,15.6,.506,4.7,5.5,.847,1.7,3.6,5.4,2.8,1.5,0.4,2.7,2.5,21.9
283,Doc Rivers\riverdo01,PG,29,ATL,79,79,2586,6.2,14.2,.435,1.2,3.6,.336,5.0,10.6,.470,3.1,3.6,.844,0.7,2.9,3.5,4.7,2.1,0.7,1.7,3.0,16.7
284,Fred Roberts\roberfr01,PF,30,MIL,82,82,2114,6.1,11.4,.533,0.1,0.4,.160,6.0,11.0,.547,2.9,3.6,.813,1.8,3.0,4.8,2.3,1.1,0.5,2.3,3.2,15.1
285,Alvin Robertson\roberal01,SG,28,MIL,81,81,2598,6.1,12.5,.485,0.3,0.9,.365,5.8,11.7,.493,2.8,3.6,.757,2.6,3.7,6.4,6.2,3.4,0.2,2.9,3.8,15.2
286,Clifford Robinson\robincl02,PF,24,POR,82,11,1940,6.9,15.0,.463,0.1,0.4,.316,6.8,14.6,.466,3.8,5.8,.653,2.3,4.2,6.5,2.8,1.4,1.4,2.5,4.9,17.8
287,David Robinson*\robinda01,C,25,SAS,82,81,3095,8.8,15.9,.552,0.0,0.1,.143,8.8,15.8,.554,6.9,9.0,.762,3.9,8.5,12.4,2.4,1.5,3.7,3.1,3.1,24.4
288,Larry Robinson\robinla01,SG,23,TOT,36,10,425,5.3,12.7,.413,0.0,0.1,.000,5.3,12.6,.416,1.3,2.3,.556,2.5,1.9,4.3,3.0,1.4,0.1,2.3,4.2,11.8
288,Larry Robinson\robinla01,SG,23,GSW,24,0,170,5.1,12.5,.407,0.0,0.0,,5.1,12.5,.407,1.7,3.2,.533,3.2,1.7,4.9,2.3,1.9,0.2,3.4,4.9,11.9
288,Larry Robinson\robinla01,SG,23,WSB,12,10,255,5.4,12.8,.418,0.0,0.1,.000,5.4,12.7,.422,1.0,1.7,.583,2.0,2.0,4.0,3.4,1.0,0.0,1.6,3.7,11.7
289,Rumeal Robinson\robinru01,PG,24,ATL,47,16,674,5.8,12.9,.446,0.1,0.6,.182,5.7,12.3,.459,2.5,4.3,.588,1.1,2.7,3.8,7.1,1.7,0.4,4.1,3.5,14.2
290,Dennis Rodman*\rodmade01,SF,29,DET,82,77,2747,3.6,7.3,.493,0.1,0.4,.200,3.5,6.9,.509,1.5,2.3,.631,4.7,8.7,13.4,1.1,0.9,0.7,1.2,3.7,8.8
291,Tree Rollins\rollitr01,C,35,DET,37,0,202,2.5,5.9,.424,0.0,0.0,,2.5,5.9,.424,1.4,2.5,.571,2.3,5.2,7.5,0.7,0.4,3.6,2.7,6.2,6.4
292,Delaney Rudd\ruddde01,PG,28,UTA,82,0,874,5.1,11.7,.435,0.7,2.5,.279,4.4,9.2,.478,2.4,2.9,.831,0.6,2.1,2.7,8.9,1.5,0.1,4.2,3.8,13.3
293,John Salley\sallejo01,PF,26,DET,74,1,1649,3.9,8.2,.475,0.0,0.0,.000,3.9,8.2,.476,4.1,5.6,.727,3.0,4.1,7.1,1.5,1.1,2.4,2.0,5.2,11.9
294,Ralph Sampson*\sampsra01,C,30,SAC,25,4,348,3.5,9.6,.366,0.1,0.5,.200,3.4,9.1,.375,0.5,2.0,.263,4.2,7.2,11.5,1.8,1.1,1.8,2.8,5.6,7.7
295,Jeff Sanders\sandeje01,PF,25,CHH,3,0,43,5.0,11.7,.429,0.0,0.0,,5.0,11.7,.429,0.8,1.7,.500,2.5,5.0,7.5,0.8,0.8,0.8,0.8,5.0,10.9
296,Mike Sanders\sandemi01,SF,30,IND,80,7,1357,5.5,13.1,.417,0.1,0.5,.200,5.4,12.6,.426,1.2,1.5,.825,1.9,3.0,4.9,2.8,1.0,0.7,1.7,5.3,12.3
297,Danny Schayes\schayda01,C,31,MIL,82,38,2228,4.8,9.6,.499,0.0,0.1,.000,4.8,9.6,.503,4.4,5.3,.835,2.8,5.8,8.6,1.6,0.9,1.0,1.7,4.3,14.1
298,Steve Scheffler\schefst01,C,23,CHH,39,0,227,3.2,6.2,.513,0.0,0.0,,3.2,6.2,.513,3.0,3.3,.905,3.3,3.8,7.1,1.4,1.0,0.3,0.6,3.2,9.4
299,Dwayne Schintzius\schindw01,C,22,SAS,42,7,398,6.2,14.0,.439,0.0,0.2,.000,6.2,13.8,.444,2.0,3.6,.550,2.5,8.4,10.9,1.5,0.2,2.6,3.1,5.8,14.3
300,Detlef Schrempf\schrede01,PF,28,IND,82,3,2632,5.9,11.4,.520,0.2,0.5,.375,5.7,10.8,.527,6.0,7.4,.818,2.4,6.6,9.0,4.1,0.8,0.3,2.4,3.6,18.1
301,Byron Scott\scottby01,SG,29,LAL,82,82,2630,6.9,14.4,.477,1.0,3.0,.324,5.9,11.4,.517,1.6,2.0,.797,0.7,2.6,3.4,2.4,1.3,0.3,1.2,2.0,16.3
302,Dennis Scott\scottde01,SG,22,ORL,82,73,2336,7.8,18.2,.425,1.9,5.1,.374,5.8,13.1,.445,2.4,3.1,.750,1.0,2.7,3.6,2.1,1.0,0.4,2.0,3.1,19.8
303,Rony Seikaly\seikaro01,C,25,MIA,64,59,2171,6.5,13.6,.481,0.0,0.1,.333,6.5,13.5,.482,4.3,6.9,.619,3.4,8.3,11.8,1.6,0.8,1.4,3.4,3.5,17.4
304,John Shasky\shaskjo01,C,26,DAL,57,0,510,3.6,8.2,.440,0.0,0.0,,3.6,8.2,.440,3.4,5.6,.608,4.1,5.4,9.5,0.8,1.0,1.4,1.9,5.3,10.6
305,Brian Shaw\shawbr01,PG,24,BOS,79,79,2772,5.7,12.2,.469,0.0,0.4,.111,5.7,11.9,.480,2.6,3.2,.819,1.4,3.5,4.8,7.8,1.4,0.4,2.9,2.7,14.2
306,Jack Sikma*\sikmaja01,C,35,MIL,77,44,1940,5.5,12.8,.427,0.9,2.5,.341,4.6,10.3,.448,3.1,3.7,.843,2.0,6.2,8.2,2.7,1.2,1.2,2.4,4.0,14.9
307,Lionel Simmons\simmoli01,SF,22,SAC,79,79,2978,6.6,15.7,.422,0.0,0.1,.273,6.6,15.6,.423,3.9,5.3,.736,2.3,6.1,8.4,3.8,1.4,1.0,2.8,3.0,17.2
308,Scott Skiles\skilesc01,PG,26,ORL,79,66,2714,6.1,13.8,.445,1.2,3.0,.408,4.9,10.8,.455,4.5,5.0,.902,0.8,2.8,3.6,8.8,1.2,0.1,3.3,2.5,18.0
309,Charles Smith\smithch01,SF,25,LAC,74,74,2703,7.3,15.6,.469,0.0,0.1,.000,7.3,15.5,.472,5.1,6.4,.793,2.9,5.2,8.1,1.8,1.1,1.9,2.2,3.6,19.7
310,Charles Smith\smithch02,PG,23,BOS,5,0,30,3.6,8.4,.429,0.0,0.0,,3.6,8.4,.429,3.6,6.0,.600,0.0,2.4,2.4,7.2,1.2,0.0,3.6,8.4,10.8
311,Clinton Smith\smithcl01,SG,27,WSB,5,0,45,1.6,3.2,.500,0.0,0.0,,1.6,3.2,.500,2.4,4.8,.500,1.6,1.6,3.2,3.2,0.8,0.0,0.8,2.4,5.6
312,Derek Smith\smithde02,SF,29,BOS,2,0,16,2.3,9.0,.250,0.0,2.3,.000,2.3,6.8,.333,6.8,9.0,.750,0.0,0.0,0.0,11.3,2.3,2.3,2.3,6.8,11.3
313,Kenny Smith\smithke01,PG,25,HOU,78,78,2699,7.0,13.4,.520,0.7,1.8,.363,6.3,11.6,.545,3.8,4.5,.844,0.5,1.7,2.2,7.4,1.4,0.1,3.2,1.7,18.4
314,Larry Smith\smithla01,PF,33,HOU,81,28,1923,2.4,4.9,.487,0.0,0.0,,2.4,4.9,.487,0.2,0.9,.240,5.7,7.6,13.3,1.6,1.6,0.4,1.7,5.0,5.0
315,Michael Smith\smithmi01,PF,25,BOS,47,3,389,8.8,18.5,.475,0.6,2.2,.250,8.2,16.3,.506,2.0,2.5,.815,1.9,3.2,5.2,4.0,0.6,0.2,3.4,2.5,20.2
316,Otis Smith\smithot01,SF,27,ORL,75,39,1885,7.8,17.2,.451,0.2,0.9,.196,7.6,16.3,.465,4.2,5.7,.734,3.4,4.1,7.4,3.2,1.6,0.7,2.7,3.6,19.9
317,Tony Smith\smithto02,SG,22,LAL,64,1,695,5.0,11.4,.441,0.0,0.4,.000,5.0,11.0,.455,2.1,3.0,.702,1.2,2.4,3.7,7.0,1.5,0.6,3.6,4.1,12.1
318,Rik Smits\smitsri01,C,24,IND,76,38,1690,7.3,15.0,.485,0.0,0.0,,7.3,15.0,.485,3.1,4.0,.762,2.5,5.1,7.6,1.8,0.5,2.4,1.8,5.2,17.6
319,Mike Smrek\smrekmi01,C,28,TOT,15,0,95,3.4,10.2,.333,0.0,0.0,,3.4,10.2,.333,2.3,4.5,.500,2.7,7.2,9.9,1.5,1.1,1.1,1.1,10.2,9.1
319,Mike Smrek\smrekmi01,C,28,GSW,5,0,25,8.6,15.8,.545,0.0,0.0,,8.6,15.8,.545,2.9,5.8,.500,4.3,5.8,10.1,1.4,2.9,0.0,2.9,13.0,20.2
319,Mike Smrek\smrekmi01,C,28,LAC,10,0,70,1.5,8.2,.188,0.0,0.0,,1.5,8.2,.188,2.1,4.1,.500,2.1,7.7,9.8,1.5,0.5,1.5,0.5,9.3,5.1
320,Rory Sparrow\sparrro01,PG,32,SAC,80,74,2375,5.6,11.5,.491,0.5,1.2,.397,5.2,10.3,.501,0.9,1.3,.699,0.7,2.1,2.8,5.5,1.3,0.2,1.9,2.9,12.6
321,Felton Spencer\spencfe01,C,23,MIN,81,46,2099,3.3,6.5,.512,0.0,0.0,.000,3.3,6.5,.513,3.1,4.3,.722,4.7,6.3,11.0,0.4,0.8,2.1,1.3,5.8,9.8
322,John Starks\starkjo01,SG,25,NYK,61,10,1173,5.5,12.6,.439,0.8,2.9,.290,4.7,9.7,.483,2.4,3.2,.752,0.9,3.1,4.0,6.3,1.8,0.5,2.3,4.2,14.3
323,Everette Stephens\stephev01,PG,24,MIL,3,0,6,12.0,18.0,.667,0.0,0.0,,12.0,18.0,.667,12.0,12.0,1.000,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,36.0
324,John Stockton*\stockjo01,PG,28,UTA,82,82,3103,5.8,11.3,.507,0.7,1.9,.345,5.1,9.4,.541,4.2,5.0,.836,0.5,2.2,2.7,13.5,2.7,0.2,3.5,2.7,16.4
325,Rod Strickland\stricro02,PG,24,SAS,58,56,2076,5.4,11.3,.482,0.2,0.6,.333,5.3,10.7,.490,2.8,3.7,.763,1.0,2.8,3.8,8.0,2.0,0.2,2.7,2.2,13.9
326,Jon Sundvold\sundvjo01,SG,29,MIA,24,0,225,6.9,17.1,.402,2.4,5.6,.429,4.5,11.5,.389,1.8,1.8,1.000,0.5,1.0,1.4,3.8,1.1,0.0,2.6,1.8,17.9
327,Roy Tarpley\tarplro01,C,26,DAL,5,5,171,9.1,16.6,.544,0.0,0.2,.000,9.1,16.4,.551,3.4,3.8,.889,3.4,8.2,11.6,2.5,1.3,1.9,2.7,4.2,21.5
